Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas siliginis strain OTU6MONEA1 chromosome, complete genome",Pseudomonas siliginis,303,303,21%,3e-77,86.06,5918345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099601.1?report=genbank&log$=nucltop&blast_rank=92&RID=0G3YE1AR016"",""CP099601.1"")"
"Pseudomonas atacamensis strain B21-045 chromosome, complete genome",Pseudomonas atacamensis,303,303,21%,3e-77,86.06,5992133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087171.1?report=genbank&log$=nucltop&blast_rank=93&RID=0G3YE1AR016"",""CP087171.1"")"
"Pseudomonas atacamensis strain FP1761 chromosome, complete genome",Pseudomonas atacamensis,303,303,21%,3e-77,86.06,6147944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166911.1?report=genbank&log$=nucltop&blast_rank=94&RID=0G3YE1AR016"",""CP166911.1"")"
"Pseudomonas atacamensis strain GZ-3 chromosome, complete genome",Pseudomonas atacamensis,302,302,20%,1e-76,86.86,6067391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP160044.1?report=genbank&log$=nucltop&blast_rank=95&RID=0G3YE1AR016"",""CP160044.1"")"
"Pseudomonas moraviensis strain OTU5VILLAA1 chromosome, complete genome",Pseudomonas moraviensis,302,302,20%,1e-76,86.91,5969148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099610.1?report=genbank&log$=nucltop&blast_rank=96&RID=0G3YE1AR016"",""CP099610.1"")"
"Pseudomonas sp. RSB 5.4 chromosome, complete genome",Pseudomonas sp. RSB 5.4,302,302,21%,1e-76,86.01,6243169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP146986.1?report=genbank&log$=nucltop&blast_rank=97&RID=0G3YE1AR016"",""CP146986.1"")"
"Pseudomonas sp. HN2 chromosome, complete genome",Pseudomonas sp. HN2,302,302,20%,1e-76,86.91,6075971,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP085885.1?report=genbank&log$=nucltop&blast_rank=98&RID=0G3YE1AR016"",""CP085885.1"")"
"Pseudomonas moraviensis strain BS3668 genome assembly, chromosome: I",Pseudomonas moraviensis,302,302,20%,1e-76,86.91,6092541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT629788.1?report=genbank&log$=nucltop&blast_rank=99&RID=0G3YE1AR016"",""LT629788.1"")"
"Pseudomonas mandelii strain VR4' HT30-3 chromosome, complete genome",Pseudomonas mandelii,300,300,20%,5e-76,86.89,6998267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177237.1?report=genbank&log$=nucltop&blast_rank=100&RID=0G3YE1AR016"",""CP177237.1"")"



		


